URL,Seller,Seller Rating,Title,Price,ISBN,Cover Image URL,pid,MRP
https://www.meesho.com/set-of-2-books-secondary-school-mathematics-for-class-10-cbse-by-rs-aggarwal-examination-2022-2023-paperback-2022-23-paperback-r-s-aggarwal-v-aggarwal-mathematics-book-ncert-class-10/p/416j5h,The Rhodium Store,3.9,"(Set of 2 Books) Secondary School Mathematics For Class 10 - CBSE - By R.S. Aggarwal Examination 2022-2023 Paperback 2022-23  (Paperback, R S AGGARWAL, V AGGARWAL) +  Mathematics book (NCERT) class 10",₹605,9388704517,https://images.meesho.com/images/products/243849077/emt2j_512.webp,243849077,₹635
https://www.meesho.com/secondary-school-mathematics-for-class-9-cbse-by-rs-aggarwal-examination-2024-2025/p/6v0n39,M TRUSTED STORE,4.0,Secondary School Mathematics for Class 9 - CBSE - by R.S. Aggarwal Examination 2024-2025,₹256,9878946540560,https://images.meesho.com/images/products/414895077/elftg_512.webp,414895077,₹269
https://www.meesho.com/secondary-school-mathematics-for-class-10-cbse-by-rs-aggarwal-examination-2024-25-books-rs-aggarwal/p/6tbrzc,yashi book store,4.0,"Secondary School Mathematics for Class 10 - CBSE - by R.S. Aggarwal Examination 2024-25  (books, RS AGGARWAL",₹337,9789394417403,https://images.meesho.com/images/products/412055400/eljal_512.webp,412055400,₹354
https://www.meesho.com/rs-aggarwal-math-for-class-6/p/6qs535,The Rhodium Store,3.9,R.S aggarwal math for class 6,₹285,N/A,https://images.meesho.com/images/products/407780033/eaqzg_512.webp,407780033,₹299
https://www.meesho.com/rs-aggarwal-class-10th-secondary-school-mathematics-for-class-10-cbse-by-rs-aggarwal/p/6n8t5x,The Rhodium Store,3.9,"Rs Aggarwal Class 10th Secondary School Mathematics for Class 10 - CBSE - by R.S. Aggarwal 
",₹360,N/A,https://images.meesho.com/images/products/401839269/4ky3p_512.webp,401839269,₹378
https://www.meesho.com/rs-aggarwal-class-10th-secondary-school-mathematics-for-class-10-cbse-by-rs-aggarwal-examination-2023-2024/p/5wdf6f,HIMANSHI ONLINE STORE,3.6,Rs Aggarwal Class 10th Secondary School Mathematics for Class 10 - CBSE - by R.S. Aggarwal Examination 2023-2024,₹299,956489,https://images.meesho.com/images/products/356704791/hpt68_512.webp,356704791, 
https://www.meesho.com/r-s-aggarwal-mathematics-secondary-school-mathematics-for-class-10-for-2025-examination-class-10-perfect-paperback/p/6zgrrr,Survifashion,3.7,R S Aggarwal Mathematics Secondary School Mathematics for Class 10: For 2025 Examination Class 10 Perfect Paperback ,₹283,9388704517,https://images.meesho.com/images/products/422366103/ozeic_512.webp,422366103,₹313
https://www.meesho.com/r-s-aggarwal-mathematic-class-6/p/47bj5z,STOCKFOX INDIA PRIVATE LIMITED,3.9,R S AGGARWAL _ MATHEMATIC (Class - 6),₹449,9788177099829,https://images.meesho.com/images/products/254160071/gl5bb_512.webp,254160071,₹482
https://www.meesho.com/mathematics-rs-aggarwal-textbook-for-class-6/p/3q3759,Easy Purchase,3.9,Mathematics RS Aggarwal Textbook for Class 6,₹447,130620032949,https://images.meesho.com/images/products/225217773/5g0vi_512.webp,225217773, 
https://www.meesho.com/mathematics-for-class-8-cbse-by-rs-aggarwal-examination/p/4gv73z,WE TRADE,3.7,Mathematics for Class 8 - CBSE - by R.S. Aggarwal Examination,₹338,8177099825,https://images.meesho.com/images/products/270194111/9ddyt_512.webp,270194111,₹355
https://www.meesho.com/mathematics-for-class-7-cbse-by-rs-aggarwal/p/6pi6gj,SAPUTRA,4.1,Mathematics for Class 7 - CBSE - by R.S. Aggarwal ,₹325,N/A,https://images.meesho.com/images/products/405635635/bfh7x_512.webp,405635635,₹372
https://www.meesho.com/mathematics-for-class-6-cbse-by-rs-aggarwal-examination-2022-2023/p/218l6b,Sheetla mata book store,3.9,Mathematics for Class 6 - CBSE - by R.S. Aggarwal Examination 2022-2023,₹348,N/A,https://images.meesho.com/images/products/123012659/xyirp_512.webp,123012659, 
https://www.meesho.com/mathematics-by-rs-aggarwal-for-class-9/p/417qiq,The Dopamine Store,4.0,Mathematics by RS Aggarwal for Class 9,₹336,N/A,https://images.meesho.com/images/products/243905282/wfnln_512.webp,243905282,₹352
https://www.meesho.com/concepts-of-physics-hc-verma-volume-2/p/4n86gf,Akki book store,3.8,Concepts of physics Hc Verma volume 2,₹444,9789355321138,https://images.meesho.com/images/products/280877487/iopiw_512.webp,280877487, 
https://www.meesho.com/concepts-of-physics-hc-verma-volume-2/p/30r6jl,Sheetla mata book store,3.9,Concepts of physics Hc Verma volume 2 ,₹411,9789355321138,https://images.meesho.com/images/products/182666721/gfayt_512.webp,182666721, 
https://www.meesho.com/concepts-of-physics-hc-verma-volume-1/p/4n86gg,Akki book store,3.8,Concepts of physics Hc Verma volume 1 ,₹444,9789355321138,https://images.meesho.com/images/products/280877488/mf6nw_512.webp,280877488, 
https://www.meesho.com/concepts-of-physics-hc-verma-volume-1/p/30qot3,Sheetla mata book store,3.9,Concepts of physics Hc Verma volume 1 ,₹388,9789355321138,https://images.meesho.com/images/products/182643735/y4ujp_512.webp,182643735, 
https://www.meesho.com/concept-of-physics-part-2-latest-session-books-paperback-hc-verma/p/3s4u3i,The Bookworm,3.8,"Concept Of Physics - Part 2 Latest Session Books Paperback, HC VERMA",₹361,45489891,https://images.meesho.com/images/products/228653406/gi266_512.webp,228653406,₹379
https://www.meesho.com/concept-of-physics-part-1-by-hc-verma/p/3lmvec,Musclemania2.0,3.7,Concept of physics Part 1 by HC Verma,₹390,5444554,https://images.meesho.com/images/products/217737588/udrnu_512.webp,217737588,₹409
https://www.meesho.com/concept-of-physics-hc-verma-part-2/p/2z9cfh,The Bookworm,3.8,Concept of physics HC Verma part 2,₹390,5444554,https://images.meesho.com/images/products/180154925/u2vqx_512.webp,180154925,₹409
https://www.meesho.com/concept-of-physics-hc-verma-2022-2023-session-part-2-book/p/2z9cg9,The Bookworm,3.8,Concept of Physics HC Verma ( 2022-2023 ) Session Part-2 Book,₹390,5444554,https://images.meesho.com/images/products/180154953/iemq3_512.webp,180154953,₹409
https://www.meesho.com/concept-of-physics-hc-verma-2022-2023-session-both-volume-1-and-2/p/2z9c80,The Bookworm,3.8,Concept of Physics HC Verma ( 2022-2023 ) Session ( Both Volume 1 and 2),₹675,5444554,https://images.meesho.com/images/products/180154656/33nqb_512.webp,180154656,₹709
https://www.meesho.com/concept-of-physics-by-hc-verma-part-i-ii/p/4ls4m0,Khushi Books,4.2,Concept of Physics by H.C Verma Part - I & II,₹641,3205585,https://images.meesho.com/images/products/278448984/qtjx2_512.webp,278448984,₹673
https://www.meesho.com/class-9th-mathematics-by-r-s-aggarwal/p/417nrr,The Bookworm,3.8,Class 9th Mathematics by R S Aggarwal,₹395,9350271850,https://images.meesho.com/images/products/243901719/zohpx_512.webp,243901719,₹415
https://www.meesho.com/cbse-mathematics-class-8-r-s-aggarwal-bharti-bhawan-p-d-paperback-r-s-aggarwal/p/3t5np1,Lazy21,3.9,"Cbse Mathematics Class 8 R S Aggarwal Bharti Bhawan (P & D)  (Paperback, R. S. AGGARWAL)",₹506,NA,https://images.meesho.com/images/products/230371381/ii2kk_512.webp,230371381, 
https://www.meesho.com/bbpd-mathematics-class-8-r-s-aggarwal-e-1759460/p/4v5gbn,STOCKFOX INDIA PRIVATE LIMITED,3.9,BBPD_ Mathematics (Class - 8) R S Aggarwal (E) 1759_460,₹452,9789350271759,https://images.meesho.com/images/products/294187235/s6hg8_512.webp,294187235,₹504
