URL,Seller,Seller Rating,Title,Price,ISBN,Cover Image URL,Image Number,MRP
https://www.meesho.com/rs-aggarwal-class-10th-secondary-school-mathematics-for-class-10-cbse-by-rs-aggarwal/p/6n8rgd,Musclemania2.0,3.7,"Rs Aggarwal Class 10th Secondary School Mathematics for Class 10 - CBSE - by R.S. Aggarwal 
",₹369,N/A,https://images.meesho.com/images/products/401837053/3dhzk_512.webp,401837053, 
https://www.meesho.com/secondary-school-mathematics-for-class-10-cbse-by-rs-aggarwal-examination/p/6nbm5q,M TRUSTED STORE,4.0,Secondary School Mathematics for Class 10 - CBSE - by R.S. Aggarwal Examination ,₹369,N/A,https://images.meesho.com/images/products/401970158/7prpl_512.webp,401970158, 
https://www.meesho.com/secondary-school-mathematics-for-class-10-by-rs-aggarwal-paperback-r-s-aggarwal-v-aggarwal/p/417p2s,The Bookworm,3.8,"SECONDARY SCHOOL MATHEMATICS FOR CLASS 10 By RS AGGARWAL  (Paperback, R S AGGARWAL, V AGGARWAL)",₹461,9388704517,https://images.meesho.com/images/products/243903412/fan9j_512.webp,243903412, 
https://www.meesho.com/secondary-school-mathematics-for-class-11-examination-2022-2023/p/417ui0,The Dopamine Store,4.0,SECONDARY SCHOOL MATHEMATICS FOR CLASS 11 - EXAMINATION 2022-2023,₹463,N/A,https://images.meesho.com/images/products/243910440/rckkh_512.webp,243910440, 
https://www.meesho.com/senior-secondary-school-mathematics-for-class-11-by-r-s-aggarwal-best-book-for-maths/p/6tcgmd,M TRUSTED STORE,4.0,Senior Secondary School Mathematics for Class 11 by R S Aggarwal Best book for Maths,₹379,9876854650,https://images.meesho.com/images/products/412087333/dfvv5_512.webp,412087333, 
https://www.meesho.com/rs-aggarwal-class-9th-cbse-by-rs-aggarwal-examination-2023-2024/p/4iusxw,WE TRADE,3.7,Rs Aggarwal Class 9th  - CBSE - by R.S. Aggarwal Examination 2023-2024,₹403,987984561560,https://images.meesho.com/images/products/273534980/azxmi_512.webp,273534980, 
https://www.meesho.com/concept-of-physics-part-2-by-hc-verma/p/3lmvhh,WE TRADE,3.7,Concept of physics Part 2 by HC Verma,₹406,5444554,https://images.meesho.com/images/products/217737701/thjho_512.webp,217737701, 
https://www.meesho.com/concept-of-physics-hc-verma-2022-2023-session-part-2/p/2z4wfd,The Dopamine Store,4.0,Concept of Physics HC Verma ( 2022-2023 ) Session Part-2,₹389,5444554,https://images.meesho.com/images/products/179947561/z5e1h_512.webp,179947561, 
https://www.meesho.com/concept-of-physics-hc-verma-part-2/p/2z4wes,The Dopamine Store,4.0,Concept of physics HC Verma part 2,₹406,5444554,https://images.meesho.com/images/products/179947540/7mzcg_512.webp,179947540, 
https://www.meesho.com/concept-of-physics-hc-verma-2022-2023-session-vol-1-and-vol-2/p/2zoogx,The Bookworm,3.8,Concept of Physics HC Verma ( 2022-2023 ) Session Vol 1 and Vol 2,₹706,5444554,https://images.meesho.com/images/products/180870369/vamjz_512.webp,180870369, 
https://www.meesho.com/concept-of-physics-2022-2023-session-volume-1-paperback-1-january-2022-paperback-h-c-verma-paperback-h-c-verma/p/3s4u3j,The Bookworm,3.8,"Concept Of Physics ( 2022-2023 ) Session ( Volume 1 ) Paperback – 1 January 2022 (Paperback, H C Verma)  (Paperback, H C Verma)",₹366,45489891,https://images.meesho.com/images/products/228653407/nsxbj_512.webp,228653407, 
https://www.meesho.com/concept-of-physics-hc-verma-in-english-2022-2023-session-set-of-2-volume/p/4jn73i,Masterji Book Wale,4.1,"Concept of Physics HC Verma in English ( 2022-2023 ) Session ( set of 2 volume )
",₹598,978-9687458987,https://images.meesho.com/images/products/274859694/r4dmy_512.webp,274859694, 
https://www.meesho.com/concept-of-physics-by-hc-verma-part-ii-session-2022-23/p/4u1gyg,Saurab Enterprisess,4.2,Concept of Physics by H.C Verma Part - II - Session 2022-23,₹340,9788177092325,https://images.meesho.com/images/products/292321816/9phfi_512.webp,292321816, 
https://www.meesho.com/concepts-of-physics-hc-verma-vol-1-2-combo-set-of-2-books-2024-25ed/p/7116q8,Wholesale store!,4.0,Concepts of Physics - HC Verma - Vol 1 & 2 - Combo Set of 2 Books - 2024-25/Ed,₹602,N/A,https://images.meesho.com/images/products/424998224/ejrro_512.webp,424998224, 
https://www.meesho.com/rs-aggarwal-mathematics-for-class-8th/p/6qs72p,The Dopamine Store,4.0,Rs Aggarwal Mathematics For Class 8th,₹349,9789394417373,https://images.meesho.com/images/products/407782609/hnusx_512.webp,407782609, 
https://www.meesho.com/rs-aggarwal-mathematics-for-class-8th/p/6qsbjt,The Bookworm,3.8,Rs Aggarwal Mathematics For Class 8th,₹349,9789394417373,https://images.meesho.com/images/products/407788409/3nsxq_512.webp,407788409, 
https://www.meesho.com/rs-aggarwal-class-10-mathematics-for-class-10th/p/6n8s2n,The Dopamine Store,4.0,"Rs Aggarwal class 10 mathematics for class 10th
",₹369,N/A,https://images.meesho.com/images/products/401837855/wg9s5_512.webp,401837855, 
https://www.meesho.com/secondary-school-mathematics-for-class-10-cbse-by-rs-aggarwal-examination/p/6n8s0n,The Dopamine Store,4.0,Secondary School Mathematics for Class 10 - CBSE - by R.S. Aggarwal Examination ,₹375,N/A,https://images.meesho.com/images/products/401837783/wgmle_512.webp,401837783, 
